,track_name,artist(s)_name,release_date
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023-07-14
1,LALA,Myke Towers,2023-03-23
2,vampire,Olivia Rodrigo,2023-06-30
3,Cruel Summer,Taylor Swift,2019-08-23
4,WHERE SHE GOES,Bad Bunny,2023-05-18
5,Sprinter,"Dave, Central Cee",2023-06-01
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023-03-16
7,Columbia,Quevedo,2023-07-07
8,fukumean,Gunna,2023-05-15
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023-03-17
10,un x100to,"Bad Bunny, Grupo Frontera",2023-04-17
11,Super Shy,NewJeans,2023-07-07
12,Flowers,Miley Cyrus,2023-01-12
13,Daylight,David Kushner,2023-04-14
14,As It Was,Harry Styles,2022-03-31
15,Kill Bill,SZA,2022-12-08
16,Cupid - Twin Ver.,Fifty Fifty,2023-02-24
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13
18,Classy 101,"Feid, Young Miko",2023-03-31
19,Like Crazy,Jimin,2023-03-24
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023-06-22
21,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,2023-07-07
22,I Wanna Be Yours,Arctic Monkeys,2013-01-01
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023-05-31
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023-06-02
25,SABOR FRESA,Fuerza Regida,2023-06-22
26,Calm Down (with Selena Gomez),"Rema, Selena Gomez",2022-03-25
27,MOJABI GHOST,"Tainy, Bad Bunny",2023-06-29
28,Last Night,Morgan Wallen,2023-01-31
29,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25
30,Rush,Troye Sivan,2023-07-13
31,TULUM,"Peso Pluma, Grupo Frontera",2023-06-28
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022-12-02
33,Anti-Hero,Taylor Swift,2022-10-21
34,TQG,"Karol G, Shakira",2023-02-23
35,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023-06-01
36,Fragil,"Yahritza Y Su Esencia, Grupo Frontera",2023-04-07
37,Blank Space,Taylor Swift,2014-01-01
38,Style,Taylor Swift,2014-01-01
39,TQM,Fuerza Regida,2023-05-19
40,El Azul,"Junior H, Peso Pluma",2023-02-10
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-10-09
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2022-08-26
43,See You Again,"Tyler, The Creator, Kali Uchis",2017-07-21
44,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023-06-23
45,Angels Like You,Miley Cyrus,2020-11-27
46,I Ain't Worried,OneRepublic,2022-05-13
47,Die For You,The Weeknd,2016-11-24
48,Starboy,"The Weeknd, Daft Punk",2016-09-21
